model,dataset,pred_len,mse,mae,rmse,mape,notes,timestamp
TimesMamba,ETTh1,96,0.375,0.397,,,,2026-03-14T14:17:35.492329
iTransformer,ETTh1,96,0.386,0.405,,,,2026-03-14T14:17:35.496847
PatchTST,ETTh1,96,0.414,0.419,,,,2026-03-14T14:17:35.500871
TimesMamba,ETTh1,192,0.425,0.424,,,,2026-03-14T14:17:35.506400
iTransformer,ETTh1,192,0.441,0.436,,,,2026-03-14T14:17:35.513008
PatchTST,ETTh1,192,0.46,0.445,,,,2026-03-14T14:17:35.519097
TimesMamba,ETTh1,336,0.468,0.446,,,,2026-03-14T14:17:35.525092
iTransformer,ETTh1,336,0.487,0.458,,,,2026-03-14T14:17:35.530166
PatchTST,ETTh1,336,0.501,0.466,,,,2026-03-14T14:17:35.536181
TimesMamba,ETTh1,720,0.479,0.473,,,,2026-03-14T14:17:35.540526
iTransformer,ETTh1,720,0.503,0.491,,,,2026-03-14T14:17:35.544527
PatchTST,ETTh1,720,0.5,0.488,,,,2026-03-14T14:17:35.550754
TimesMamba,Electricity,96,0.141,0.237,,,,2026-03-14T14:17:35.554743
iTransformer,Electricity,96,0.148,0.24,,,,2026-03-14T14:17:35.559893
PatchTST,Electricity,96,0.195,0.285,,,,2026-03-14T14:17:35.564950
TimesMamba,Electricity,192,0.156,0.249,,,,2026-03-14T14:17:35.568505
iTransformer,Electricity,192,0.162,0.253,,,,2026-03-14T14:17:35.574469
PatchTST,Electricity,192,0.199,0.289,,,,2026-03-14T14:17:35.580295
TimesMamba,Electricity,336,0.172,0.266,,,,2026-03-14T14:17:35.583328
iTransformer,Electricity,336,0.178,0.269,,,,2026-03-14T14:17:35.587387
PatchTST,Electricity,336,0.215,0.305,,,,2026-03-14T14:17:35.591388
TimesMamba,Electricity,720,0.204,0.295,,,,2026-03-14T14:17:35.596425
iTransformer,Electricity,720,0.225,0.317,,,,2026-03-14T14:17:35.601011
PatchTST,Electricity,720,0.256,0.337,,,,2026-03-14T14:17:35.604971
TimesMamba,Traffic,96,0.376,0.257,,,,2026-03-14T14:17:35.608519
iTransformer,Traffic,96,0.395,0.268,,,,2026-03-14T14:17:35.614547
PatchTST,Traffic,96,0.544,0.359,,,,2026-03-14T14:17:35.618046
TimesMamba,Traffic,192,0.386,0.265,,,,2026-03-14T14:17:35.621211
iTransformer,Traffic,192,0.417,0.276,,,,2026-03-14T14:17:35.625174
PatchTST,Traffic,192,0.54,0.354,,,,2026-03-14T14:17:35.628422
TimesMamba,Traffic,336,0.412,0.277,,,,2026-03-14T14:17:35.632421
iTransformer,Traffic,336,0.433,0.283,,,,2026-03-14T14:17:35.637755
PatchTST,Traffic,336,0.551,0.358,,,,2026-03-14T14:17:35.643286
TimesMamba,Traffic,720,0.458,0.296,,,,2026-03-14T14:17:35.647412
iTransformer,Traffic,720,0.467,0.302,,,,2026-03-14T14:17:35.653414
PatchTST,Traffic,720,0.586,0.375,,,,2026-03-14T14:17:35.656962
